Action;Cód. Cliente;Cliente;Razón Social;Cód. Sector;Sector;Cód. CR;Activo;Cód. Interno;Cecos;Nombre Instalación;Tipo Gasto;Cód. Centralización;Tipo Servicio;Inicio;Término;StandBy;Área Funcional;Dirección Principal;Comuna;Dirección Adicional;Latitud;Longitud;Tipo Tolerancia Entrada Laboral Temprana;Tolerancia Entrada Laboral Temprana;Tipo Tolerancia Entrada Laboral Tardía;Tolerancia Entrada Laboral Tardía;Tipo Máx. Atraso.;Máx. Atraso;Tipo Tolerancia Salida Laboral Temprana;Tolerancia Salida Laboral Temprana;Tipo Tolerancia Salida Laboral Tardía;Tolerancia Salida Laboral Tardía;Tipo Máx. Tiempo Extra Permitido;Máx Tiempo Extra Permitido;Correo de copia factura;Tolerancia Metros Distancia Faceid;Nombre de Contacto;Teléfono;Email Contacto;Máx. Hr. Extra MismoTurno;Máx Hr. Traslape Mismo Turno;¿Cola. Día?;¿Cola. Noche?;¿Generar PPC?;¿Ausent. Autom.?;¿AS Autom. Al Crear Rol?;Permite TVF;Valor TVF;I_OBSERVACIONES;Teléfono 1;Teléfono 2;Bomberos;Mutual;Carabineros;Ambulancia;Teléfonos Autorizados IVR;Planner;Encargado;Controller;Cantidad Colab. Cecos.;Cantidad Colab. Rol.;Correo Solicitud Qr
crear,eliminar,modificar;2;Dhemax;Inversiones Dhemax Ingenieros SpA;5;Región de Valparaíso;1;NO;;2-5-1;Placilla;;;;08-05-2024;01-05-2025;NO;;Av. Ojos del Salado 3225;Valparaíso (Valparaíso);;-33,136444;-71,561518;General;45;General;0;General;60;General;0;General;15;General;0;;1000;;;;0,00;0,00;NO;NO;SI;NO;NO;SI;;;0;0;132;1407;133;131;;;;;0;0;
crear,eliminar,modificar;3;SCRB;SCRB Ingenieria y Construcción y Cía. Ltda.;13;Región Metropolitana;1;NO;;3-13-1;Lo Barnechea;;;Cecos Interno (no venta);27-05-2024;30-09-2025;NO;;Los Trapenses 3276;Lo Barnechea (Santiago);;-33,345534;-70,543916;General;45;General;0;General;60;General;0;General;15;General;0;;1000;;;;0,00;0,00;NO;NO;SI;NO;NO;SI;;;0;0;132;1407;133;131;;;;;0;0;
crear,eliminar,modificar;8;Zerando;Zerando o Chile SpA;13;Región Metropolitana;1;NO;;8-13-1;Zerando;;;;25-07-2024;01-05-2025;NO;;Augusto Mira Fernández 14248;Las Condes (Santiago);;-33,367332;-70,498661;General;45;General;0;General;60;General;0;General;15;General;0;;1000;;;;0,00;0,00;NO;NO;SI;NO;NO;SI;;;0;0;132;1407;133;131;;;;;0;0;
crear,eliminar,modificar;10;Tattersall;EMPRESAS TATTERSALL S.A.;2;Región de Antofagasta;2;NO;;10-2-2;Tattersall Antofagasta;;;;01-10-2024;31-10-2024;NO;;pedro aguirre cerda 7514;Aisén (Aisén);;-23,599994;-70,389112;Personalizado;0;Personalizado;0;Personalizado;0;Personalizado;0;Personalizado;0;Personalizado;0;;1000;;;;0,00;0,00;NO;NO;SI;NO;NO;SI;;;0;0;132;1407;133;131;;;;;0;0;
crear,eliminar,modificar;11;Condominio Crusoe;Condominio Crusoe;13;Región Metropolitana;1;NO;;11-13-1;Condominio Robinson Crusoe;;;;12-11-2024;30-06-2025;NO;;Robinson Crusoe 1115;Las Condes (Santiago);;-33,419188;-70,556121;General;45;General;0;General;60;General;0;General;15;General;0;;1000;;;;0,00;0,00;NO;NO;SI;NO;NO;SI;;;0;0;132;1407;133;131;;;;;0;0;
crear,eliminar,modificar;12;Condominio Alta Vista 2;Condominio Alta Vista II;13;Región Metropolitana;1;NO;;12-13-1;Condominio Alta Vista II;DIRECTO;;;02-12-2024;01-06-2025;NO;;Camino del Monte 6150;La Florida (Santiago);;-33,515069;-70,532780;Personalizado;0;Personalizado;0;Personalizado;0;Personalizado;0;Personalizado;0;Personalizado;0;;1000;;;;0,00;0,00;NO;NO;SI;NO;NO;SI;;;0;0;132;1407;133;131;;;;;0;0;
crear,eliminar,modificar;13;Pikala;Pikala;13;Región Metropolitana;1;NO;;13-13-1;PIikala Gran Av ;;;;01-12-2024;01-06-2025;NO;;Gran Avenida José Miguel Carrera, 4311;San Miguel (Santiago);;-33,494018;-70,652513;General;45;General;0;General;60;General;0;General;15;General;0;;1000;;;;0,00;0,00;NO;NO;SI;NO;NO;SI;;;0;0;132;1407;133;131;;;;;0;0;
crear,eliminar,modificar;14;ASFALCURA;CONSTRUCTORA ASFALCURA SPA;5;Región de Valparaíso;1;NO;;14-5-1;Asfalcura San Felipe;;;;06-12-2024;01-06-2025;NO;;Avenida Miraflores 1150;San Felipe (San Felipe de Aconcagua);;-32,748118;-70,718469;General;45;General;0;General;60;General;0;General;15;General;0;;1000;;;;0,00;0,00;NO;NO;SI;NO;NO;SI;;;0;0;132;1407;133;131;;;;;0;0;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
